message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.120742, y=5.543563])";"30";"turtlesim3.sim";"1695881907.398979604";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120742, y=5.546630])";"30";"turtlesim3.sim";"1695881907.383833877";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120742, y=5.543563])";"30";"turtlesim2.sim";"1695881907.373476696";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120742, y=5.549698])";"30";"turtlesim3.sim";"1695881907.367633746";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120742, y=5.546630])";"30";"turtlesim2.sim";"1695881907.357339941";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.114596, y=5.552765])";"30";"turtlesim3.sim";"1695881907.351331308";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120742, y=5.549698])";"30";"turtlesim2.sim";"1695881907.341231835";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.114596, y=5.552765])";"30";"turtlesim2.sim";"1695881907.325321079";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.642136])";"30";"turtlesim3.sim";"1695881874.295017780";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.641291])";"30";"turtlesim3.sim";"1695881874.279778200";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.642136])";"30";"turtlesim2.sim";"1695881874.270203980";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.640446])";"30";"turtlesim3.sim";"1695881874.263875193";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.641291])";"30";"turtlesim2.sim";"1695881874.253966420";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.639601])";"30";"turtlesim3.sim";"1695881874.247852570";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.640446])";"30";"turtlesim2.sim";"1695881874.237781945";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.638756])";"30";"turtlesim3.sim";"1695881874.231858960";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.639601])";"30";"turtlesim2.sim";"1695881874.222323489";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.637911])";"30";"turtlesim3.sim";"1695881874.214980823";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.638756])";"30";"turtlesim2.sim";"1695881874.205086309";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.637067])";"30";"turtlesim3.sim";"1695881874.199680342";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.637911])";"30";"turtlesim2.sim";"1695881874.189317217";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.636222])";"30";"turtlesim3.sim";"1695881874.183773239";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.637067])";"30";"turtlesim2.sim";"1695881874.173585959";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.635377])";"30";"turtlesim3.sim";"1695881874.167852395";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.636222])";"30";"turtlesim2.sim";"1695881874.157741384";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013620, y=3.634532])";"30";"turtlesim3.sim";"1695881874.151360392";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031989, y=3.635377])";"30";"turtlesim2.sim";"1695881874.141699159";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013620, y=3.634532])";"30";"turtlesim2.sim";"1695881874.125791716";"./src/turtle.cpp:update:260"
